Question,A,B,C,D,"Correct answer(s) - Choose at least one, answers separated by a comma"
"Which planet is known as the Red Planet?","Earth","Mars","Venus","Jupiter","B"
"What is the largest ocean on Earth?","Atlantic Ocean","Indian Ocean","Pacific Ocean","Arctic Ocean","C"
"Who wrote Romeo and Juliet?","Charles Dickens","William Shakespeare","Jane Austen","Mark Twain","B"
"What is the capital of Japan?","Seoul","Tokyo","Beijing","Bangkok","B"
"What gas do plants absorb from the atmosphere?","Oxygen","Nitrogen","Carbon Dioxide","Hydrogen","C"
"How many continents are there?","5","6","7","8","C"
"What is the fastest land animal?","Cheetah","Leopard","Horse","Lion","A"
"Which instrument has 88 keys?","Violin","Piano","Flute","Drum","B"
"Which language is primarily spoken in Brazil?","Spanish","Portuguese","French","English","B"
"What is H2O commonly known as?","Salt","Hydrogen","Water","Helium","C"
"Which country hosted the 2016 Summer Olympics?","China","Brazil","United Kingdom","Russia","B"
"What is the square root of 81?","7","8","9","10","C"
"Which mammal can fly?","Eagle","Bat","Penguin","Squirrel","B"
"Which is the smallest prime number?","0","1","2","3","C"
"What color do you get by mixing blue and yellow?","Green","Orange","Purple","Red","A"
